HIP,RAdeg,DEdeg,Vmag,Plx,e_Plx,pmRA,pmDE,e_pmRA,e_pmDE,B-V,e_B-V,V-I,BTmag,VTmag,Hpmag,SpType,VarFlag,MultFlag,distance_pc,Abs_Vmag,logL_solar,Teff_K
19163,278.290434,-18.151229,6.39,2.28,1.55,60.12,7.95,0.81,1.56,1.558,0.026,1.625,7.718,6.534,6.233,,,,438.6,-1.82,2.66,3708.0
19164,94.155537,-67.788589,9.45,1.42,1.05,97.25,-76.18,1.52,1.35,0.03,0.017,0.006,9.505,9.438,9.445,A9 V,,,704.2,0.211,1.8476,9766.0
19165,160.641156,-24.668627,12.33,14.03,0.2,68.31,59.31,0.41,1.34,1.372,0.029,1.513,13.512,12.437,12.194,,,,71.3,8.065,-1.294,3997.0
19166,324.13091,-71.251524,12.5,2.77,0.28,-14.36,-64.21,1.56,0.59,0.151,0.017,0.173,12.597,12.521,12.493,A6 V,,,361.0,4.712,0.0472,8563.0
19167,20.46191,51.027516,9.29,39.42,0.79,11.61,67.7,0.93,0.48,1.307,0.026,1.512,10.425,9.415,9.158,M0 V,,,25.4,7.269,-0.9756,4109.0
19168,22.013689,17.269519,10.52,7.76,0.61,-38.29,8.17,2.0,1.42,1.363,0.018,1.471,11.7,10.646,10.388,,,,128.9,4.969,-0.0556,4012.0
19169,48.654648,-46.208213,7.88,9.65,1.28,-90.39,-65.99,0.98,1.76,1.467,0.025,1.587,9.14,8.003,7.74,M6 V,,,103.6,2.803,0.8108,3844.0
19170,149.25704,18.204631,4.1,6.01,0.9,51.48,29.14,1.48,1.32,1.488,0.03,1.573,5.37,4.215,3.959,,,C,166.4,-2.006,2.7344,3812.0
19171,129.474357,-51.303109,10.3,21.08,1.66,-13.72,40.74,1.27,0.52,1.093,0.001,1.234,11.209,10.414,10.194,K1 III,,,47.4,6.919,-0.8356,4530.0
19172,20.287116,-19.269535,10.78,10.17,0.93,144.9,-51.73,0.3,1.12,1.466,0.012,1.647,12.026,10.917,10.627,M1 V,M,,98.3,5.817,-0.3948,3845.0
19173,309.196393,-33.368948,8.6,3.36,1.21,-15.09,-33.73,0.72,1.82,1.664,0.023,1.841,10.031,8.729,8.43,M7 V,,,297.6,1.232,1.4392,3562.0
19174,119.887924,10.852146,11.29,20.27,0.64,14.4,15.7,1.59,0.36,1.586,0.02,1.787,12.658,11.426,11.114,,,,49.3,7.824,-1.1976,3669.0
19175,82.562599,19.036501,7.16,2.63,0.33,38.08,-108.46,1.48,0.82,1.163,0.008,1.253,8.135,7.247,7.047,K3 II,P,,380.2,-0.74,2.228,4383.0
19176,176.557323,40.382568,7.92,9.01,1.23,-58.09,80.18,2.49,1.33,1.516,0.008,1.687,9.228,8.047,7.776,M3 V,,,111.0,2.694,0.8544,3770.0
19177,213.99065,-7.277957,9.93,0.53,0.37,-77.23,-12.76,1.8,0.59,0.921,0.008,1.013,10.741,10.009,9.833,G6 III,,,1886.8,-1.449,2.5116,4941.0
19178,302.341862,26.793849,8.62,0.68,0.51,41.47,60.72,1.81,1.69,1.781,0.007,1.917,10.152,8.8,8.453,,P,,1470.6,-2.217,2.8188,3415.0
19179,9.571271,-26.060043,6.5,0.87,1.03,71.93,-46.78,1.83,0.86,1.576,0.016,1.634,7.841,6.628,6.358,M7 V,,,1149.4,-3.802,3.4528,3683.0
19180,47.942012,-7.597691,11.31,22.48,0.22,-66.88,-80.93,0.97,1.11,1.526,0.012,1.688,12.576,11.435,11.153,M3 V,,G,44.5,8.069,-1.2956,3755.0
19181,201.627429,-13.850324,7.36,13.56,1.3,42.83,33.88,0.91,0.82,1.713,0.002,1.955,8.798,7.522,7.171,,,O,73.7,3.021,0.7236,3499.0
19182,291.03053,-69.072933,8.83,3.84,1.06,-5.56,5.18,1.07,0.3,1.463,0.013,1.673,10.08,8.972,8.677,M6 IV,,,260.4,1.752,1.2312,3850.0
19183,93.282782,73.50663,11.34,35.76,1.32,12.53,-14.82,2.7,1.69,1.466,0.008,1.701,12.554,11.484,11.18,,,,28.0,9.107,-1.7108,3845.0
19184,287.942859,59.999698,9.39,24.14,1.46,78.08,-34.46,0.48,1.28,1.383,0.013,1.556,10.574,9.522,9.242,M4 V,,,41.4,6.304,-0.5896,3978.0
19185,339.161984,-14.610255,7.54,5.99,0.58,-47.17,-48.82,0.98,2.04,0.991,0.013,1.058,8.368,7.637,7.437,K1 V,,,166.9,1.427,1.3612,4764.0
19186,200.825205,-0.768479,9.32,6.07,0.83,-61.66,20.45,0.51,1.36,1.378,0.001,1.563,10.49,9.443,9.187,M6 V,,,164.7,3.236,0.6376,3987.0
19187,127.291153,-53.319008,9.07,4.97,1.65,-53.93,-160.16,1.61,0.99,1.463,0.005,1.538,10.318,9.215,8.93,M7 V,,,201.2,2.552,0.9112,3850.0
19188,85.276367,-9.120041,5.85,0.33,1.3,43.63,-96.94,1.46,1.16,1.412,0.01,1.575,7.068,5.986,5.709,M7 V,,V,3030.3,,,3931.0
19189,62.600592,-8.613869,9.35,21.61,1.61,-50.29,35.36,0.49,1.24,1.673,0.019,1.849,10.746,9.511,9.186,M6 V,,,46.3,6.023,-0.4772,3551.0
19190,119.306228,-31.890877,8.33,8.25,1.23,3.84,-39.51,0.91,0.45,0.802,0.008,0.964,9.028,8.405,8.234,K8 V,,,121.2,2.912,0.7672,5275.0
19191,341.337671,-35.197995,7.55,2.91,1.41,-76.15,-11.66,2.82,1.25,0.209,0.018,0.277,7.756,7.576,7.531,A6 II,,,343.6,-0.131,1.9844,8094.0
19192,333.653947,4.207064,9.13,3.38,0.45,-47.43,31.61,0.65,2.36,0.573,0.032,0.651,9.651,9.189,9.071,G4 Ib,,,295.9,1.775,1.222,6075.0
19193,344.757418,8.416132,9.54,3.29,0.74,66.94,15.05,0.66,0.64,0.89,0.017,0.933,10.296,9.617,9.448,,,,304.0,2.126,1.0816,5023.0
19194,236.586497,8.543725,8.45,1.84,1.19,49.84,-63.2,1.12,1.06,1.372,0.009,1.424,9.578,8.61,8.308,M4 V,S,,543.5,-0.226,2.0224,3997.0
19195,48.787381,-64.159327,9.53,1.7,0.85,34.05,33.05,0.49,0.3,1.051,0.014,1.259,10.422,9.623,9.428,K4 III,,,588.2,0.682,1.6592,4624.0
19196,39.530479,1.444831,12.5,25.01,1.32,-42.48,-2.04,0.3,1.95,1.202,0.001,1.311,13.481,12.588,12.369,K8 V,,,40.0,9.491,-1.8644,4305.0
19197,153.515053,-19.896544,7.28,4.75,1.44,-62.66,4.72,0.36,1.81,1.546,0.033,1.763,8.598,7.416,7.129,M0 V,,,210.5,0.663,1.6668,3726.0
19198,192.006394,58.418113,7.51,4.68,1.41,195.70679963012785,-387.95081500312017,0.63,1.64,1.498,0.007,1.648,8.79,7.626,7.363,M0 V,,,213.7,0.861,1.5876,3797.0
19199,289.888378,-35.680835,9.29,13.8,1.17,-140.4,78.16,2.19,1.06,1.641,0.016,1.781,10.692,9.431,9.133,M4 V,,,72.5,4.989,-0.0636,3593.0
19200,52.771791,59.204485,6.6,32.88,1.41,-40.89,14.34,1.21,1.75,1.43,0.004,1.596,7.816,6.726,6.461,,,,30.4,4.185,0.258,3902.0
19201,248.811229,16.834787,12.5,15.57,0.82,67.43,0.24,1.88,1.85,1.645,0.02,1.826,13.895,12.66,12.327,M6 V,,,64.2,8.461,-1.4524,3588.0
19202,8.47575,15.241831,8.05,5.53,0.51,-11.78,-66.36,1.59,1.05,1.576,0.017,1.73,9.424,8.208,7.9,,,,180.8,1.764,1.2264,3683.0
19203,62.025977,4.555553,4.41,12.07,0.21,-23.15,-65.4,0.85,0.83,1.181,0.026,1.284,5.437,4.509,4.269,K5 V,,,82.9,-0.181,2.0044,4346.0
19204,350.744738,3.897561,7.98,3.79,1.86,78.12,0.3,1.04,2.07,0.943,0.02,1.052,8.8,8.05,7.89,K4 V,,,263.9,0.873,1.5828,4884.0
19205,178.62786,-62.312741,6.67,16.11,0.88,8.73,-36.54,0.93,0.7,0.034,0.019,0.057,6.71,6.676,6.668,A4 V,,,62.1,2.705,0.85,9720.0
19206,12.27701,-25.758159,6.18,20.8,0.57,-20.65,20.98,1.07,1.04,0.585,0.022,0.674,6.667,6.225,6.117,,,,48.1,2.77,0.824,6027.0
19207,327.032824,50.499831,5.63,9.4,0.98,24.14,89.32,1.58,3.08,0.412,0.015,0.432,5.991,5.664,5.59,F9 V,,,106.4,0.496,1.7336,6817.0
19208,276.663311,-15.435595,8.82,0.1,0.59,-2.3,140.1,0.3,1.28,1.428,0.013,1.638,10.023,8.941,8.687,M5 V,,V,10000.0,,,3905.0
19209,355.656727,-51.649621,8.32,8.18,1.01,79.81,45.32,1.38,1.45,0.961,0.005,1.1,9.157,8.403,8.227,K4 Ib,,,122.2,2.884,0.7784,4838.0
19210,278.14164,44.706023,8.9,3.66,1.35,-34.83,-71.6,1.37,0.51,1.605,0.023,1.777,10.271,9.033,8.737,,,V,273.2,1.717,1.2452,3642.0
19211,138.672768,64.489783,8.39,0.1,0.53,-17.3,10.86,1.73,1.86,0.2,0.022,0.198,8.577,8.414,8.359,F2 V,,V,10000.0,,,8163.0
19212,309.992336,77.57344,8.69,0.6,1.72,41.75,3.94,3.48,1.5,0.753,0.019,0.818,9.331,8.764,8.613,,,,1666.7,-2.419,2.8996,5427.0
19213,175.993071,26.364239,8.42,2.16,0.69,19.98,105.7,1.33,0.3,1.355,0.022,1.57,9.592,8.549,8.273,M2 V,,,463.0,0.092,1.8952,4025.0
19214,79.311585,65.458826,5.08,0.1,1.58,1.36,46.91,1.53,1.13,1.465,0.007,1.657,6.287,5.206,4.94,M1 IV,,,10000.0,,,3847.0
19215,322.685078,-32.926471,7.55,20.55,0.47,-10.89,37.03,1.18,1.25,1.389,0.015,1.537,8.747,7.68,7.417,M9 V,,,48.7,4.114,0.2864,3968.0
19216,47.315248,6.73047,8.93,0.1,0.78,26.75,-13.52,1.51,0.51,0.545,0.023,0.67,9.408,8.973,8.874,,,,10000.0,,,6192.0
19217,141.170029,-26.866409,9.39,30.74,1.48,-26.3,-53.22,1.78,1.8,1.393,0.014,1.529,10.568,9.503,9.253,M3 III,,,32.5,6.829,-0.7996,3962.0
19218,151.628519,25.887881,6.96,18.84,0.8,119.27,22.33,2.92,1.23,0.743,0.017,0.812,7.609,7.044,6.884,,,,53.1,3.335,0.598,5459.0
19219,145.450159,38.713591,5.23,3.09,0.71,-25.64,17.06,1.13,1.63,1.608,0.009,1.75,6.603,5.369,5.068,M3 V,,,323.6,-2.32,2.86,3638.0
19220,318.652423,-47.605184,8.81,7.13,0.34,-2.38,-106.84,0.62,0.35,0.48,0.022,0.444,9.24,8.857,8.775,G0 V,,,140.3,3.075,0.702,6481.0
19221,280.746545,-47.191734,7.22,0.62,1.15,-3.78,-19.78,0.81,0.62,1.442,0.026,1.616,8.454,7.344,7.088,,,,1612.9,-3.818,3.4592,3883.0
19222,141.173157,-30.367043,6.4,0.99,1.13,28.89,10.1,2.63,1.96,1.454,0.024,1.601,7.628,6.529,6.261,,,,1010.1,-3.622,3.3808,3864.0
19223,331.116017,50.301115,7.93,18.72,0.85,-50.22,-52.77,0.4,1.15,0.886,0.016,0.945,8.634,8.003,7.834,K5 V,,,53.4,4.292,0.2152,5034.0
19224,254.886701,-43.079922,11.47,1.69,0.44,-16.7,-39.52,0.86,1.62,1.899,0.026,2.063,13.13,11.664,11.283,M3 V,,,591.7,2.609,0.8884,3278.0
19225,47.364687,-28.154812,10.38,7.98,0.52,44.85,24.41,2.38,1.57,1.772,0.01,1.854,11.917,10.541,10.197,M3 V,,,125.3,4.89,-0.024,3426.0
19226,341.667471,-41.23356,9.52,12.2,1.21,-35.79,47.7,0.4,1.39,0.677,0.005,0.789,10.085,9.583,9.437,G1 V,M,,82.0,4.952,-0.0488,5682.0
19227,283.332499,-45.926257,4.11,24.05,0.88,-68.29,17.17,2.58,1.04,1.383,0.011,1.482,5.268,4.219,3.971,M0 V,,,41.6,1.016,1.5256,3978.0
19228,12.593716,-18.218313,7.3,0.97,0.38,-102.29,57.97,0.99,1.25,1.418,0.017,1.653,8.502,7.43,7.159,M1 V,,,1030.9,-2.766,3.0384,3921.0
19229,19.375012,-14.388324,9.36,6.22,1.22,-27.96,5.9,1.29,1.19,1.61,0.012,1.776,10.729,9.517,9.203,M4 V,,,160.8,3.329,0.6004,3635.0
19230,252.47598,-66.09639,7.64,17.87,0.75,-43.88,-45.22,0.3,1.29,0.429,0.014,0.43,7.98,7.699,7.611,F1 V,,V,56.0,3.901,0.3716,6729.0
19231,182.578591,68.648139,11.85,10.02,0.46,14.36,26.66,0.54,2.17,1.398,0.005,1.474,13.031,11.979,11.709,M9 IV,,,99.8,6.854,-0.8096,3954.0
19232,311.286075,-17.064903,9.74,5.73,0.32,-42.91,17.82,0.3,0.67,1.563,0.015,1.768,11.091,9.879,9.584,M9 V,,,174.5,3.531,0.5196,3701.0
19233,25.791368,-22.706022,8.36,32.97,1.37,26.37,-22.54,1.37,0.7,0.629,0.002,0.681,8.88,8.411,8.302,G7 V,R,,30.3,5.951,-0.4484,5856.0
19234,128.756623,8.59108,8.37,5.61,1.36,36.71,-81.66,2.0,0.88,1.506,0.027,1.647,9.669,8.51,8.213,,,,178.3,2.115,1.086,3785.0
19235,38.718996,-9.119141,10.28,0.1,0.51,-29.75,14.34,1.1,1.71,1.543,0.014,1.688,11.612,10.424,10.129,M6 V,,G,10000.0,,,3730.0
19236,55.053285,-4.511474,8.53,5.95,0.46,73.72,-86.75,0.72,1.84,1.771,0.019,1.94,10.001,8.703,8.341,M3 V,,,168.1,2.403,0.9708,3427.0
19237,104.080433,-11.269159,5.75,24.93,1.1,6.54,0.94,0.79,1.6,1.37,0.025,1.528,6.917,5.869,5.607,M1 V,,,40.1,2.734,0.8384,4000.0
19238,227.242441,-2.826613,9.64,2.16,1.1,20.78,-5.36,0.58,0.9,1.345,0.029,1.493,10.807,9.765,9.514,,,,463.0,1.312,1.4072,4043.0
19239,163.002021,17.25053,10.08,20.01,2.3,5.55,92.91,3.0,1.94,1.631,0.009,1.795,11.46,10.225,9.934,M6 V,,C,50.0,6.586,-0.7024,3607.0
19240,354.856329,-24.550328,7.26,12.62,0.7,20.32,-84.07,1.03,0.71,1.386,0.015,1.523,8.42,7.383,7.12,M6 V,R,,79.2,2.765,0.826,3973.0
19241,27.687483,-8.682609,10.49,15.14,1.83,37.42,16.94,1.41,0.3,1.756,0.015,2.005,11.986,10.657,10.314,,,,66.1,6.391,-0.6244,3445.0
19242,231.623339,-18.970112,8.94,1.66,1.29,-63.17,-18.21,2.22,0.36,1.37,0.002,1.467,10.102,9.055,8.798,M4 V,,,602.4,0.041,1.9156,4000.0
19243,49.651703,-60.097188,4.19,26.82,0.81,-75.97,12.45,2.05,2.05,1.547,0.026,1.725,5.499,4.315,4.033,M8 V,P,,37.3,1.332,1.3992,3724.0
19244,4.544394,-12.61814,10.58,7.53,0.8,-43.53,19.29,1.87,1.39,1.531,0.017,1.664,11.907,10.732,10.419,,,,132.8,4.964,-0.0536,3747.0
19245,300.609312,17.147698,4.41,3.71,1.62,60.57,-63.46,1.85,1.14,1.366,0.005,1.495,5.574,4.534,4.281,K1 III,,C,269.5,-2.743,3.0292,4007.0
19246,95.241626,67.072574,7.05,2.52,0.65,0.71,-37.07,1.14,1.79,1.395,0.02,1.494,8.242,7.171,6.914,,,,396.8,-0.943,2.3092,3959.0
19247,53.58018,-8.722418,7.66,0.1,0.57,50.77,24.1,0.3,0.67,0.785,0.009,0.927,8.303,7.734,7.579,K7 IV,,X,10000.0,,,5326.0
19248,277.039517,-9.656248,8.01,30.39,1.17,70.77,94.02,1.03,0.32,0.867,0.01,0.908,8.775,8.083,7.925,,C,G,32.9,5.424,-0.2376,5087.0
19249,238.604488,-63.895223,6.47,3.62,0.2,-43.13,6.77,0.46,0.3,1.509,0.033,1.652,7.757,6.596,6.309,M6 V,,,276.2,-0.736,2.2264,3780.0
19250,174.020233,25.535782,8.36,6.96,1.17,-52.99,26.99,1.53,2.46,1.557,0.02,1.718,9.692,8.495,8.208,M4 V,S,,143.7,2.573,0.9028,3710.0
19251,228.029168,-14.023685,8.31,2.36,1.22,33.68,-15.83,0.36,1.96,1.333,0.008,1.445,9.424,8.427,8.173,M2 V,,,423.7,0.175,1.862,4063.0
19252,42.794234,-11.040584,10.01,3.35,0.2,-2.9799588976568723,94.47081866018262,1.24,1.03,1.717,0.036,1.85,11.505,10.16,9.833,,,X,298.5,2.635,0.878,3494.0
19253,326.347058,-4.338123,7.2,0.1,1.58,20.51,3.84,0.95,0.8,0.493,0.001,0.472,7.606,7.245,7.149,F3 V,,V,10000.0,,,6421.0
19254,93.708344,-32.948194,7.59,6.1,0.8,-138.32,-70.21,1.82,1.7,1.366,0.021,1.478,8.76,7.687,7.453,,,,163.9,1.517,1.3252,4007.0
19255,300.542636,17.511237,8.89,12.41,0.95,46.59,-74.84,1.25,1.04,1.49,0.009,1.613,10.156,9.012,8.74,M6 V,,,80.6,4.359,0.1884,3809.0
19256,116.497749,-30.02095,8.96,5.86,1.08,38.84,-63.67,1.88,0.56,1.647,0.017,1.739,10.375,9.091,8.803,M6 V,,,170.6,2.799,0.8124,3585.0
19257,327.321812,48.886425,9.11,11.32,1.48,-50.61,-117.33,0.33,1.03,1.01,0.014,1.221,9.971,9.189,9.001,,,V,88.3,4.379,0.1804,4719.0
19258,160.896433,40.014168,9.33,2.52,2.28,-91.54,101.38,1.79,1.78,1.538,0.019,1.714,10.67,9.462,9.183,M1 V,,,396.8,1.337,1.3972,3737.0
19259,44.739038,34.676538,6.24,2.87,0.35,-6.18,42.69,0.9,0.59,1.558,0.011,1.659,7.549,6.366,6.075,M0 V,,,348.4,-1.471,2.5204,3708.0
19260,324.355851,44.948344,10.29,14.62,1.18,-21.76,61.85,0.62,1.1,1.553,0.024,1.703,11.626,10.429,10.119,,,,68.4,6.115,-0.514,3715.0
19261,26.57046,3.389244,7.02,2.43,1.39,-97.11,-32.74,0.72,1.72,0.064,0.011,-0.051,7.05,7.029,6.995,A9 V,,C,411.5,-1.052,2.3528,9391.0
19262,222.11714,26.310145,6.09,8.46,1.01,-12.05,10.39,1.07,0.92,0.538,0.019,0.645,6.565,6.145,6.018,,,,118.2,0.727,1.6412,6221.0
19263,50.484913,69.521628,8.11,0.1,1.47,-32.6,-22.62,1.14,1.69,0.395,0.006,0.469,8.445,8.166,8.075,,,,10000.0,,,6907.0
19264,173.828879,-71.748957,10.72,2.58,0.64,39.42,8.72,1.12,0.3,1.259,0.029,1.341,11.841,10.834,10.59,,C,,387.6,2.778,0.8208,4196.0
19265,149.356687,49.213875,4.66,4.99,0.72,-7.25,65.49,1.44,1.14,0.29,0.02,0.33,4.907,4.698,4.657,F0 V,,,200.4,-1.849,2.6716,7526.0
19266,358.480448,-50.571297,9.65,7.73,0.24,-90.98,1.7,1.58,1.14,0.975,0.015,1.041,10.495,9.742,9.54,K7 IV,,,129.4,4.091,0.2956,4804.0
19267,189.386171,2.425243,8.26,12.52,0.86,32.34,44.34,0.52,0.57,1.477,0.029,1.665,9.494,8.41,8.1,M5 V,,,79.9,3.748,0.4328,3828.0
19268,234.669907,30.702728,9.33,9.22,1.5,-106.31,57.08,0.3,0.36,0.008,0.01,-0.075,9.378,9.316,9.34,A3 V,,,108.5,4.154,0.2704,10027.0
19269,58.946609,-31.320394,9.93,17.88,0.65,5.61,-114.58,1.83,1.34,1.369,0.017,1.541,11.081,10.046,9.797,,,,55.9,6.192,-0.5448,4002.0
19270,286.58845,5.870185,7.18,20.88,0.87,-12.15,-13.82,1.64,1.23,-0.088,0.01,-0.12,7.099,7.167,7.196,,C,,47.9,3.779,0.4204,11375.0
19271,4.048087,28.562885,9.44,15.08,1.13,18.17,-11.67,0.51,1.27,1.322,0.001,1.549,10.523,9.55,9.31,,M,,66.3,5.332,-0.2008,4082.0
19272,290.436213,49.857613,8.97,15.86,0.78,12.23,134.19,0.62,1.32,1.032,0.002,1.076,9.834,9.054,8.866,K9 V,,,63.1,4.972,-0.0568,4667.0
19273,88.092334,60.96649,3.61,12.37,0.26,-45.48,-89.94,1.03,1.69,0.868,0.011,0.895,4.316,3.692,3.526,,,,80.8,-0.928,2.3032,5084.0
19274,192.162316,-46.461437,6.72,2.16,1.0,23.71,14.62,0.76,1.52,1.686,0.013,1.843,8.128,6.879,6.542,M5 V,,,463.0,-1.608,2.5752,3534.0
19275,70.983427,-21.849692,8.03,5.6,1.88,-64.83,2.19,1.67,1.93,1.475,0.042,1.59,9.261,8.164,7.886,M4 II,,,178.6,1.771,1.2236,3832.0
19276,81.511137,51.075569,12.5,8.62,0.23,40.14,-74.75,2.23,0.96,1.425,0.02,1.427,13.712,12.641,12.356,M4 V,S,,116.0,7.178,-0.9392,3910.0
19277,158.05501,33.630255,7.4,2.46,1.02,70.75,82.49,1.65,2.08,1.442,0.013,1.593,8.639,7.506,7.252,M5 V,,,406.5,-0.645,2.19,3883.0
19278,275.459982,-64.592499,7.08,3.7,0.2,-33.97,-13.25,1.43,1.25,0.87,0.006,0.99,7.818,7.161,6.993,,,,270.3,-0.079,1.9636,5078.0
19279,359.421817,-26.405272,7.91,3.59,0.62,-4.66,-4.73,0.3,1.55,0.466,0.019,0.465,8.282,7.956,7.852,,,,278.6,0.685,1.658,6547.0
19280,352.732239,0.531691,7.43,7.13,1.35,56.8,-56.06,1.14,1.88,0.161,0.004,0.185,7.523,7.455,7.406,,,,140.3,1.695,1.254,8478.0
19281,127.252183,-25.823246,8.69,3.62,0.68,23.14,79.15,1.58,0.71,1.401,0.008,1.531,9.901,8.824,8.544,,,C,276.2,1.484,1.3384,3949.0
19282,231.295381,-19.878595,11.79,0.5,0.85,-9.98,18.46,1.38,1.63,0.888,0.01,0.91,12.539,11.868,11.689,,,,2000.0,,,5029.0
19283,132.343021,25.088174,7.0,30.15,0.21,36.18,-5.35,1.02,1.44,0.28,0.006,0.355,7.224,7.028,6.951,F8 V,,,33.2,4.396,0.1736,7591.0
19284,299.06323,28.036829,12.5,6.18,0.31,18.19,-6.22,1.72,0.61,0.52,0.023,0.523,12.974,12.533,12.432,F1 V,,,161.8,6.455,-0.65,6300.0
19285,359.283823,-4.143933,6.01,39.61,2.34,-28.91,3.21,1.7,1.59,1.225,0.003,1.277,7.027,6.121,5.891,K2 V,,,25.2,3.999,0.3324,4260.0
19286,150.467943,-37.438339,5.69,0.1,0.86,28.99,-7.94,0.33,0.49,1.513,0.019,1.611,6.992,5.817,5.541,M6 V,,,10000.0,,,3774.0
19287,343.006231,23.76275,9.73,25.21,1.0,-28.08,4.46,1.14,0.6,0.169,0.018,0.168,9.874,9.761,9.721,,,,39.7,6.738,-0.7632,8411.0
19288,338.193175,-51.193411,6.54,0.1,1.63,-108.03,19.29,1.43,1.24,-0.08,0.031,-0.048,6.5,6.516,6.552,A3 V,,,10000.0,,,11247.0
19289,213.244463,-18.143618,6.92,4.59,1.94,-10.89,40.84,0.3,1.7,1.338,0.021,1.408,8.069,7.047,6.784,M9 V,,,217.9,0.229,1.8404,4055.0
19290,230.231825,-55.054544,5.9,7.21,0.8,7.98,-32.82,0.54,0.96,1.602,0.001,1.835,7.246,6.048,5.742,M2 V,S,,138.7,0.19,1.856,3646.0
19291,322.653439,-19.757115,10.14,4.56,1.53,-26.63,89.0,0.39,2.29,1.567,0.017,1.742,11.446,10.26,9.981,,,,219.3,3.435,0.558,3695.0
19292,318.481319,-2.291795,11.09,4.57,1.62,32.1,17.8,0.3,0.9,0.505,0.032,0.575,11.503,11.133,11.038,F7 V,,,218.8,4.39,0.176,6366.0
19293,69.060822,-0.163473,8.86,7.02,1.16,68.17,-3.35,0.66,0.3,1.469,0.021,1.498,10.09,8.987,8.729,M7 V,,,142.5,3.092,0.6952,3841.0
19294,92.971634,5.250446,10.31,14.13,1.02,-62.15,19.41,1.04,2.09,1.371,0.002,1.496,11.469,10.439,10.183,,C,,70.8,6.061,-0.4924,3998.0
19295,34.474832,40.725921,8.75,1.0,0.2,11.87,44.49,1.04,1.27,0.561,0.001,0.676,9.211,8.803,8.679,,M,,1000.0,-1.25,2.432,6125.0
19296,301.134298,41.596854,7.96,0.63,2.07,14.58,69.88,1.42,1.16,0.852,0.026,0.91,8.691,8.038,7.853,K1 V,,,1587.3,-3.043,3.1492,5129.0
19297,180.508256,46.515102,9.82,3.84,0.67,-23.5,-53.61,1.31,1.99,1.6,0.031,1.717,11.188,9.961,9.663,,,,260.4,2.742,0.8352,3649.0
19298,265.53267,30.91909,5.85,18.0,1.5,-3.63,34.79,1.12,1.22,1.047,0.005,1.153,6.748,5.94,5.749,K9 V,C,,55.6,2.126,1.0816,4633.0
19299,37.367953,22.725711,7.14,4.82,1.33,7.02,4.98,2.32,0.48,1.597,0.002,1.72,8.491,7.286,6.992,M1 V,,,207.5,0.555,1.71,3653.0
19300,336.525785,-51.261462,11.55,1.87,1.01,-77.1,9.38,1.13,1.8,1.564,0.011,1.746,12.865,11.702,11.394,,,C,534.8,2.909,0.7684,3700.0
19301,308.677659,38.14843,9.51,22.07,0.68,8.92,-24.82,1.05,1.33,1.514,0.01,1.498,10.833,9.643,9.361,M4 V,C,,45.3,6.229,-0.5596,3773.0
19302,32.608633,-4.747448,8.61,23.04,0.65,-32.77,37.37,0.35,1.26,1.033,0.014,1.175,9.482,8.706,8.518,,,,43.4,5.422,-0.2368,4665.0
19303,269.724008,-14.19005,10.48,3.62,0.79,29.9,-25.85,0.86,0.59,1.441,0.01,1.606,11.665,10.601,10.336,M2 V,,,276.2,3.274,0.6224,3884.0
19304,205.492204,42.739647,12.1,9.22,0.93,-24.12,-10.9,1.77,1.12,0.79,0.015,0.883,12.785,12.175,12.018,K3 V,,,108.5,6.924,-0.8376,5311.0
19305,196.988985,-15.035483,7.29,3.82,0.65,3.86,40.89,1.89,1.14,1.623,0.021,1.709,8.654,7.448,7.136,M5 V,,,261.8,0.2,1.852,3617.0
19306,314.500602,34.539641,4.33,12.03,0.73,96.18,22.85,0.95,0.91,1.485,0.017,1.706,5.569,4.463,4.172,M4 V,,,83.1,-0.269,2.0396,3816.0
19307,51.464993,-83.452835,7.77,10.06,0.93,13.98,31.74,1.82,1.12,1.093,0.015,1.181,8.721,7.853,7.673,K9 III,,,99.4,2.783,0.8188,4530.0
19308,20.426128,30.864517,8.67,1.58,0.25,-4.17,-28.79,2.38,1.51,0.297,0.012,0.309,8.884,8.697,8.654,F2 V,,C,632.9,-0.337,2.0668,7481.0
19309,322.166141,4.223974,6.1,4.83,0.76,-18.78,97.77,0.91,2.01,1.482,0.01,1.554,7.373,6.221,5.951,M9 V,,X,207.0,-0.48,2.124,3821.0
19310,28.46535,-68.965619,7.74,9.49,0.4,42.28,-23.84,1.93,1.53,1.636,0.014,1.781,9.152,7.894,7.575,,,,105.4,2.626,0.8816,3600.0
19311,342.818074,54.10092,5.6,1.07,0.91,-4.18,14.29,1.52,1.4,1.426,0.01,1.569,6.815,5.725,5.452,M4 V,,,934.6,-4.253,3.6332,3908.0
19312,167.533301,-63.23776,6.94,2.59,1.21,114.33,-91.19,0.47,0.3,1.275,0.018,1.341,8.036,7.065,6.82,M7 V,,V,386.1,-0.994,2.3296,4167.0
19313,222.946165,32.11184,12.0,8.43,0.22,66.19,-46.45,1.32,0.77,0.032,0.004,-0.026,12.058,11.996,11.985,A8 III,,,118.6,6.629,-0.7196,9743.0
19314,264.646369,-9.36571,9.19,2.56,1.67,-87.92,-35.38,0.3,1.23,1.373,0.01,1.542,10.331,9.321,9.041,,,,390.6,1.231,1.4396,3995.0
19315,281.407934,-49.432016,9.32,2.21,1.01,27.37,51.24,0.88,2.48,1.744,0.026,1.887,10.784,9.48,9.139,,,,452.5,1.042,1.5152,3460.0
